City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Brewster,US,71.01,overcast clouds,41.3973,-73.6171,Heidi's Inn
1,Kruisfontein,ZA,72.23,clear sky,-34.0033,24.7314,Oyster Bay House Rental
8,South Venice,US,74.98,scattered clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
10,Rikitea,PF,74.08,light rain,-23.1203,-134.9692,People ThankYou
14,Hilo,US,74.93,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
18,Port Alfred,ZA,70.18,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
28,Nabire,ID,84.99,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
34,Port Hedland,AU,89.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
37,Palmer,US,70.41,light rain,42.1584,-72.3287,Wedgewood Motel
40,Kapaa,US,75.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
53,Sao Filipe,CV,76.53,broken clouds,14.8961,-24.4956,Hotel Xaguate
54,Mahebourg,MU,79.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
58,Vao,NC,73.69,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
60,East London,ZA,73.02,broken clouds,-33.0153,27.9116,Tu Casa
62,Soe,ID,79.02,overcast clouds,-9.8607,124.284,Dena Hotel
64,Dubti,ET,76.91,clear sky,11.7361,41.0853,degu Shiferaw
66,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
72,Torit,SS,70.99,light rain,4.4133,32.5678,Diplomat Guest House
76,Atuona,PF,77.34,few clouds,-9.8,-139.0333,Villa Enata
81,Bozdar,PK,83.17,clear sky,27.1828,68.636,Hadi Hassan Shah Stop
82,Panaba,MX,75.65,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
83,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
85,Porto Novo,BJ,76.84,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
87,Doha,QA,82.38,clear sky,25.2867,51.5333,Mövenpick Doha
88,Tautira,PF,76.03,moderate rain,-17.7333,-149.15,Pension Oaoa
89,Bengkulu,ID,82.74,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
93,Lethem,GY,73.99,scattered clouds,3.3803,-59.7968,Savannah Inn
101,Gambela,ET,72.93,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
102,Lorengau,PG,82.04,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Emerald,AU,89.35,clear sky,-23.5333,148.1667,Emerald Inn
105,Belmonte,BR,73.58,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
108,Carnarvon,AU,70.75,clear sky,-24.8667,113.6333,Hospitality Carnarvon
109,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
110,Seoul,KR,71.17,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
111,Bac Lieu,VN,86.16,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
112,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
117,Honiara,SB,76.82,overcast clouds,-9.4333,159.95,Heritage Park Hotel
119,Puerto Escondido,MX,78.62,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
121,Saint-Philippe,RE,80.19,clear sky,-21.3585,55.7679,Le four à pain
127,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
128,San Miguel,SV,71.46,broken clouds,13.4833,-88.1833,Excalibur
132,Nagaur,IN,79.32,clear sky,27.2,73.7333,Ranvas Nagaur
133,Kaeo,NZ,70.32,scattered clouds,-35.1,173.7833,Bushido Lodge
136,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
137,Marica,BR,73.31,light rain,-22.9194,-42.8186,Marica Hills
141,Mogadishu,SO,79.95,scattered clouds,2.0371,45.3438,Hotel Juba
142,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
143,Sindhnur,IN,81.46,broken clouds,15.7833,76.7667,BANGLI AUTOMOBILE
147,Denpasar,ID,87.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
149,Gboko,NG,74.08,broken clouds,7.3179,8.9951,Mavillah Apartment and Suites
152,Malakal,SS,74.07,overcast clouds,9.5334,31.6605,Nile Palace Hotel
159,Flinders,AU,77.18,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
