City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Current Description
0,Brewster,100,US,2022-11-12 05:11:06,93,41.3973,-73.6171,71.01,13.8,overcast clouds
1,Kruisfontein,0,ZA,2022-11-12 05:11:07,63,-34.0033,24.7314,72.23,2.06,clear sky
2,Hermanus,0,ZA,2022-11-12 05:11:07,73,-34.4187,19.2345,60.8,7.67,clear sky
3,Punta Arenas,0,CL,2022-11-12 05:11:07,80,-53.15,-70.9167,33.91,2.3,clear sky
4,La Paz,18,BO,2022-11-12 05:08:48,30,-16.5,-68.15,42.78,2.3,few clouds
5,Upernavik,96,GL,2022-11-12 05:11:08,79,72.7868,-56.1549,11.07,8.39,overcast clouds
6,Aklavik,40,CA,2022-11-12 05:11:08,95,68.2191,-135.0107,4.33,8.03,scattered clouds
7,Sisimiut,81,GL,2022-11-12 05:11:09,88,66.9395,-53.6735,12.9,8.95,broken clouds
8,South Venice,42,US,2022-11-12 05:11:09,97,27.0531,-82.4243,74.98,4.21,scattered clouds
9,Mataura,100,NZ,2022-11-12 05:11:09,43,-46.1927,168.8643,58.48,6.04,overcast clouds
10,Rikitea,99,PF,2022-11-12 05:11:10,87,-23.1203,-134.9692,74.08,15.57,light rain
11,Chernyshevskiy,100,RU,2022-11-12 05:11:10,93,63.0128,112.4714,20.28,13.58,light snow
12,Khatanga,75,RU,2022-11-12 05:11:10,100,71.9667,102.5,-32.06,5.23,broken clouds
13,Bowmore,100,US,2022-11-12 05:11:11,92,34.9421,-79.3031,70.75,14.97,overcast clouds
14,Hilo,100,US,2022-11-12 05:07:57,81,19.7297,-155.09,74.93,16.11,overcast clouds
15,Tasiilaq,100,GL,2022-11-12 05:11:11,69,65.6145,-37.6368,33.96,23.02,overcast clouds
16,Alice Springs,41,AU,2022-11-12 05:10:10,33,-23.7,133.8833,92.75,16.11,scattered clouds
17,Yumen,0,CN,2022-11-12 05:11:11,33,40.2833,97.2,41.2,2.26,clear sky
18,Port Alfred,95,ZA,2022-11-12 05:08:12,89,-33.5906,26.891,70.18,1.01,overcast clouds
19,Rio Grande,0,BR,2022-11-12 05:07:23,93,-32.035,-52.0986,64.2,10.65,clear sky
20,Bonham,0,US,2022-11-12 05:11:12,72,33.5773,-96.1783,40.37,8.05,clear sky
21,Albany,100,US,2022-11-12 05:06:29,94,42.6001,-73.9662,69.67,3.0,overcast clouds
22,Batesville,100,US,2022-11-12 05:11:12,90,35.7698,-91.641,38.84,5.75,moderate rain
23,Namikupa,85,TZ,2022-11-12 05:11:13,67,-10.8333,39.6,77.88,4.81,overcast clouds
24,Busselton,92,AU,2022-11-12 05:11:13,45,-33.65,115.3333,62.96,13.65,overcast clouds
25,Bouafle,72,CI,2022-11-12 05:11:13,93,6.9904,-5.7442,68.97,3.47,broken clouds
26,Kodiak,100,US,2022-11-12 05:11:13,100,57.79,-152.4072,42.31,9.22,mist
27,Ushuaia,0,AR,2022-11-12 05:11:14,75,-54.8,-68.3,37.06,5.75,clear sky
28,Nabire,100,ID,2022-11-12 05:11:14,68,-3.3667,135.4833,84.99,5.3,overcast clouds
29,Tiksi,86,RU,2022-11-12 05:11:15,100,71.6872,128.8694,-17.73,7.38,overcast clouds
30,Kabalo,100,CD,2022-11-12 05:11:15,98,-6.05,26.9167,68.65,1.99,light rain
31,Dvinskoy,95,RU,2022-11-12 05:11:15,90,62.1535,45.1175,42.73,8.55,overcast clouds
32,Mumbwa,93,ZM,2022-11-12 05:11:16,85,-14.9783,27.0619,66.9,4.99,overcast clouds
33,Thompson,49,CA,2022-11-12 05:11:16,100,55.7435,-97.8558,-12.12,2.8,scattered clouds
34,Port Hedland,1,AU,2022-11-12 05:11:16,37,-20.3167,118.5667,89.65,14.97,clear sky
35,Provideniya,0,RU,2022-11-12 05:11:17,72,64.3833,-173.3,15.46,9.91,clear sky
36,Qaanaaq,0,GL,2022-11-12 05:11:17,66,77.484,-69.3632,-3.06,7.54,clear sky
37,Palmer,100,US,2022-11-12 05:11:17,84,42.1584,-72.3287,70.41,12.66,light rain
38,Navahrudak,100,BY,2022-11-12 05:09:12,97,53.6,25.8333,46.2,11.07,overcast clouds
39,Norman Wells,63,CA,2022-11-12 05:11:18,95,65.282,-126.8329,13.26,5.06,broken clouds
40,Kapaa,20,US,2022-11-12 05:11:18,69,22.0752,-159.319,75.18,17.27,few clouds
41,Tuktoyaktuk,67,CA,2022-11-12 05:11:18,93,69.4541,-133.0374,9.05,6.6,broken clouds
42,Hithadhoo,88,MV,2022-11-12 05:11:18,72,-0.6,73.0833,81.97,17.34,overcast clouds
43,Mar Del Plata,75,AR,2022-11-12 05:08:54,95,-38.0023,-57.5575,63.95,11.99,broken clouds
44,Bluff,100,NZ,2022-11-12 05:11:19,66,-46.6,168.3333,58.8,8.77,overcast clouds
45,Semme,42,FR,2022-11-12 05:11:19,80,46.1963,1.5007,54.01,3.78,scattered clouds
46,Kamenka,100,RU,2022-11-12 05:12:19,91,51.3223,42.7678,40.77,11.95,overcast clouds
47,Kaitangata,92,NZ,2022-11-12 05:12:20,61,-46.2817,169.8464,61.9,10.11,overcast clouds
48,Sovetskiy,75,RU,2022-11-12 05:12:20,94,61.3614,63.5842,15.62,6.08,broken clouds
49,Talnakh,36,RU,2022-11-12 05:12:20,96,69.4865,88.3972,-20.79,0.92,scattered clouds
50,Port Elizabeth,0,ZA,2022-11-12 05:09:55,83,-33.918,25.5701,68.29,4.61,clear sky
51,Narsaq,100,GL,2022-11-12 05:12:20,92,60.9167,-46.05,21.42,1.97,overcast clouds
52,Port Augusta,61,AU,2022-11-12 05:12:21,27,-32.5,137.7667,94.95,19.04,broken clouds
53,Sao Filipe,77,CV,2022-11-12 05:12:21,71,14.8961,-24.4956,76.53,3.56,broken clouds
54,Mahebourg,20,MU,2022-11-12 05:12:21,61,-20.4081,57.7,79.25,5.75,few clouds
55,Puerto Ayora,56,EC,2022-11-12 05:12:21,87,-0.7393,-90.3518,68.56,3.0,broken clouds
56,Sabaudia,100,IT,2022-11-12 05:12:22,72,41.3003,13.0282,60.48,4.18,overcast clouds
57,Quimper,75,FR,2022-11-12 05:12:22,100,48.0,-4.1,54.18,10.36,broken clouds
58,Vao,92,NC,2022-11-12 05:12:22,79,-22.6667,167.4833,73.69,19.98,overcast clouds
59,Jalu,100,LY,2022-11-12 05:12:22,47,29.0331,21.5482,64.9,4.29,overcast clouds
60,East London,82,ZA,2022-11-12 05:12:23,81,-33.0153,27.9116,73.02,14.0,broken clouds
61,Severo-Yeniseyskiy,100,RU,2022-11-12 05:12:23,89,60.3725,93.0408,21.24,10.76,overcast clouds
62,Soe,95,ID,2022-11-12 05:12:23,66,-9.8607,124.284,79.02,5.28,overcast clouds
63,San Patricio,100,US,2022-11-12 05:10:33,74,28.017,-97.5169,56.84,20.62,overcast clouds
64,Dubti,9,ET,2022-11-12 05:12:24,61,11.7361,41.0853,76.91,8.52,clear sky
65,Jamestown,100,US,2022-11-12 05:12:24,74,42.097,-79.2353,55.53,12.66,overcast clouds
66,Bambous Virieux,20,MU,2022-11-12 05:12:24,61,-20.3428,57.7575,79.21,5.75,few clouds
67,Brusyliv,100,UA,2022-11-12 05:12:24,92,50.2845,29.5263,42.89,8.7,overcast clouds
68,Amfiklia,89,GR,2022-11-12 05:12:25,84,38.6333,22.5833,50.31,4.88,overcast clouds
69,Codrington,100,AU,2022-11-12 05:12:25,79,-38.2667,141.9667,57.7,13.76,light rain
70,Omsukchan,100,RU,2022-11-12 05:12:25,98,62.5333,155.8,-7.8,2.73,overcast clouds
71,Beloha,9,MG,2022-11-12 05:12:25,57,-25.1667,45.05,81.1,14.54,clear sky
72,Torit,100,SS,2022-11-12 05:12:26,86,4.4133,32.5678,70.99,1.34,light rain
73,Port Lincoln,64,AU,2022-11-12 05:12:26,82,-34.7333,135.8667,66.6,4.23,broken clouds
74,Chokurdakh,87,RU,2022-11-12 05:12:26,100,70.6333,147.9167,-28.35,5.97,overcast clouds
75,Arucas,54,ES,2022-11-12 05:12:26,79,28.1198,-15.5233,65.82,6.31,broken clouds
76,Atuona,11,PF,2022-11-12 05:12:27,78,-9.8,-139.0333,77.34,11.86,few clouds
77,Vigrestad,39,NO,2022-11-12 05:12:27,92,58.5667,5.7,51.96,9.04,scattered clouds
78,Redmond,89,US,2022-11-12 05:12:27,81,47.674,-122.1215,45.88,3.38,overcast clouds
79,Georgiyevskoye,85,RU,2022-11-12 05:12:27,91,58.731,45.024,43.68,9.31,overcast clouds
80,Saint George,0,US,2022-11-12 05:07:41,53,37.1041,-113.5841,42.94,3.44,clear sky
81,Bozdar,0,PK,2022-11-12 05:12:28,28,27.1828,68.636,83.17,3.78,clear sky
82,Panaba,98,MX,2022-11-12 05:12:28,78,21.2833,-88.2667,75.65,5.64,overcast clouds
83,Vaini,20,TO,2022-11-12 05:12:28,78,-21.2,-175.2,82.56,4.61,few clouds
84,Ribeira Grande,75,PT,2022-11-12 05:12:28,68,38.5167,-28.7,64.8,23.02,broken clouds
85,Porto Novo,100,BJ,2022-11-12 05:12:29,90,6.4965,2.6036,76.84,3.24,overcast clouds
86,Cidreira,100,BR,2022-11-12 05:12:29,93,-30.1811,-50.2056,66.56,11.59,overcast clouds
87,Doha,0,QA,2022-11-12 05:12:29,74,25.2867,51.5333,82.38,1.14,clear sky
88,Tautira,93,PF,2022-11-12 05:12:29,85,-17.7333,-149.15,76.03,7.63,moderate rain
89,Bengkulu,99,ID,2022-11-12 05:12:30,73,-3.8004,102.2655,82.74,8.32,overcast clouds
90,Gornyye Klyuchi,100,RU,2022-11-12 05:12:30,98,45.25,133.5,32.94,9.19,snow
91,Cape Town,4,ZA,2022-11-12 05:11:37,69,-33.9258,18.4232,65.12,7.0,clear sky
92,Markova,100,UA,2022-11-12 05:12:30,80,48.6758,24.4138,42.75,3.38,overcast clouds
93,Lethem,27,GY,2022-11-12 05:12:30,84,3.3803,-59.7968,73.99,6.17,scattered clouds
94,Vardo,100,NO,2022-11-12 05:12:31,96,70.3705,31.1107,39.72,12.12,light rain
